"Community","County","Region","Community Population (2010)","CEC Designation Status","Advanced (v3.0) Designation","Community Size","Points Achieved","List of Completed High Impact Actions","Count of Completed High Impact Actions"
"Town of Dix","Schuyler","Southern Tier","3,757","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/13/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/5/2018","2"
"Town of Dover","Dutchess","Mid-Hudson","8,415","Designated CEC","","Medium community","1,700","• Clean Fleets - Charging Stations (200 points) - 10/26/2021 
 • Climate Smart Communities Certification - Bronze (600 points) - 3/30/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 7/5/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/18/2019 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 4/19/2021","5"
"Town of Dryden","Tompkins","Southern Tier","13,905","Designated CEC","4-Star","Medium community","7,000","• 100% Renewable Electricity - LR (500 points) - 3/8/2022 
 • (Retired) Benchmarking - Advanced Reporting (200 points) - 10/11/2022 
 • Benchmarking - Municipal Buildings (100 points) - 11/6/2018 
 • Build Ready - Site Nomination (100 points) - 6/11/2024 
 • Clean Energy Upgrades (500 points) - 7/11/2023 
 • Clean Fleets (100 points) - 1/5/2021 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 5/3/2023 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/8/2019 
 • Climate Smart Communities Recertification - Bronze CSC Recertification (800 points) - 8/20/2024 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 8/17/2021 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 5/28/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 4/5/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/28/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 10/28/2022 
 • Municipal Clean Fleets Inventory (200 points) - 6/11/2024 
 • NYStretch Energy Code (1200 points) - 7/13/2021 
 • Solarize (0 points) - 10/26/2018 
 • Unified Solar Permit (200 points) - 11/6/2018","19"
"Town of Eagle","Wyoming","Finger Lakes","1,105","Designated CEC","1-Star","Small community","1,400","• 50% Conversion of Cobra Head Streetlights (700 points) - 8/6/2024 
 • (Retired) Benchmarking - Advanced Reporting (200 points) - 11/21/2023 
 • Benchmarking - Municipal Buildings (100 points) - 11/21/2023 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2023 
 • Municipal Clean Fleets Inventory (200 points) - 2/6/2024","5"
"Town of East Bloomfield","Ontario","Finger Lakes","3,640","Designated CEC","1-Star","Small community","1,700","• 50% Conversion of Cobra Head Streetlights (700 points) - 2/5/2024 
 • Benchmarking - Advanced Reporting (300 points) - 5/21/2024 
 • Benchmarking - Municipal Buildings (100 points) - 7/27/2018 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/29/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/14/2018 
 • Municipal Clean Fleets Inventory (200 points) - 1/16/2024 
 • Unified Solar Permit (200 points) - 4/5/2022","7"
"Town of East Greenbush","Rensselaer","Capital Region","16,748","Designated CEC","","Medium community","1,400","• Benchmarking - Municipal Buildings (100 points) - 6/1/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 4/12/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 5/5/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 5/5/2022 
 • Unified Solar Permit (200 points) - 5/5/2022","5"
"Town of East Hampton","Suffolk","Long Island","28,385","Designated CEC","3-Star","Medium community","5,700","• 50% Conversion of Cobra Head Streetlights (700 points) - 6/11/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 6/11/2024 
 • (Retired) Benchmarking - Advanced Reporting (200 points) - 8/17/2023 
 • Benchmarking - Municipal Buildings (100 points) - 3/3/2017 
 • Clean Fleets (100 points) - 12/12/2016 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/25/2016 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 3/15/2023 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 1/18/2022 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 1 (400 points) - 7/2/2024 
 • Host Clean Energy Generation Installation on Municipal Property - Tier 2 (500 points) - 7/2/2024 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 6/4/2024 
 • Light-Duty Electric Vehicles - Tier 2 (500 points) - 6/4/2024 
 • NYStretch Energy Code (1200 points) - 2/3/2022 
 • Unified Solar Permit (200 points) - 10/19/2016","14"
"Town of East Rochester","Monroe","Finger Lakes","6,334","Not Designated","","Medium community","0","• Energy Code Enforcement Training - V.1 (0 points) - 8/13/2018","1"
"Town of Eastchester","Westchester","Mid-Hudson","34,641","Not Designated","","Medium community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 1/25/2023","1"
"Town of Eaton","Madison","Central New York","4,284","Designated CEC","","Small community","1,200","• Benchmarking - Municipal Buildings (100 points) - 3/11/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/18/2020 
 • Unified Solar Permit (200 points) - 1/29/2019","5"
"Town of Eden","Erie","Western New York","7,573","Designated CEC","","Medium community","1,400","• Benchmarking - Municipal Buildings (100 points) - 9/17/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/5/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 7/13/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 7/13/2021 
 • Solarize (0 points) - 10/19/2020 
 • Unified Solar Permit (200 points) - 8/15/2017","6"
"Town of Edinburg","Saratoga","Capital Region","1,333","Designated CEC","","Small community","800","• Benchmarking - Municipal Buildings (100 points) - 1/30/2018 
 • Clean Energy Upgrades (500 points) - 2/27/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • Unified Solar Permit (200 points) - 1/30/2018","4"
"Town of Edwards","St. Lawrence","North Country","1,015","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/28/2022","1"
"Town of Elbridge","Onondaga","Central New York","5,476","Designated CEC","1-Star","Medium community","1,500","• (Retired) Benchmarking - Advanced Reporting (200 points) - 8/17/2023 
 • Benchmarking - Municipal Buildings (100 points) - 5/10/2018 
 • Energy Code Enforcement Training (300 points) - 7/2/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/20/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 1/7/2020 
 • Unified Solar Permit (200 points) - 11/6/2017","6"
"Town of Elizabethtown","Essex","North Country","1,203","Designated CEC","","Small community","1,000","• Benchmarking - Municipal Buildings (100 points) - 10/26/2018 
 • Clean Energy Upgrades (500 points) - 3/26/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/28/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/2/2018 
 • Unified Solar Permit (200 points) - 10/30/2018","5"
"Town of Ellenburg","Clinton","North Country","1,842","Not Designated","","Small community","300","• Energy Code Enforcement Training (300 points) - 4/23/2024","1"
"Town of Ellery","Chautauqua","Western New York","4,122","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/20/2021","1"
"Town of Ellicott","Chautauqua","Western New York","8,768","Designated CEC","","Medium community","400","• Benchmarking - Municipal Buildings (100 points) - 2/7/2017 
 • Clean Fleets (100 points) - 2/16/2017 
 • Energy Code Enforcement Training - V.1 (0 points) - 1/31/2017 
 • Unified Solar Permit (200 points) - 2/7/2017","4"
"Town of Ellicottville","Cattaraugus","Western New York","1,315","Designated CEC","","Small community","400","• Benchmarking - Municipal Buildings (100 points) - 3/3/2017 
 • Clean Fleets (100 points) - 3/17/2017 
 • Energy Code Enforcement Training - V.1 (0 points) - 5/16/2017 
 • Unified Solar Permit (200 points) - 3/17/2017","4"
"Town of Ellington","Chautauqua","Western New York","1,497","Designated CEC","","Small community","400","• Benchmarking - Municipal Buildings (100 points) - 4/26/2018 
 • Clean Fleets (100 points) - 11/14/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • Unified Solar Permit (200 points) - 4/26/2018","4"
"Town of Elmira","Chemung","Southern Tier","6,848","Designated CEC","","Medium community","1,500","• Benchmarking - Municipal Buildings (100 points) - 10/26/2018 
 • Clean Fleets (100 points) - 8/13/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 2/5/2019 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/15/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 12/15/2021 
 • Unified Solar Permit (200 points) - 2/5/2019","7"
"Town of Enfield","Tompkins","Southern Tier","3,362","Designated CEC","2-Star","Small community","3,300","• 50% Conversion of Cobra Head Streetlights (700 points) - 5/10/2024 
 • Benchmarking - Advanced Reporting (300 points) - 5/28/2024 
 • Benchmarking - Municipal Buildings (100 points) - 10/16/2017 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 5/28/2024 
 • Clean Energy Generation Installation Owned by Municipality Tier 1 (600 points) - 5/10/2024 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 1/4/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 9/20/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 1 (700 points) - 5/10/2024 
 • Solarize (0 points) - 10/16/2017 
 • Unified Solar Permit (200 points) - 8/15/2017","11"
"Town of Erin","Chemung","Southern Tier","1,806","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2023","1"
"Town of Esopus","Ulster","Mid-Hudson","9,548","Designated CEC","","Medium community","2,200","• Benchmarking - Municipal Buildings (100 points) - 3/11/2019 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 5/10/2018 
 • NYStretch Energy Code (1200 points) - 3/18/2022 
 • Unified Solar Permit (200 points) - 7/27/2018","5"
"Town of Essex","Essex","North Country","621","Designated CEC","2-Star","Small community","3,200","• Benchmarking - Advanced Reporting (300 points) - 5/10/2024 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 5/10/2024 
 • Clean Energy Generation Installation Owned by Municipality Tier 1 (600 points) - 4/23/2024 
 • Clean Energy Upgrades - Tier 1 (500 points) - 6/4/2024 
 • Clean Energy Upgrades -Tier 2 (200 points) - 6/4/2024 
 • Clean Energy Upgrades -Tier 3 (300 points) - 6/4/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/9/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/14/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/22/2021 
 • Municipal Clean Fleets Inventory (200 points) - 5/10/2024 
 • Unified Solar Permit (200 points) - 3/18/2022","11"
"Town of Evans","Erie","Western New York","15,308","Designated CEC","2-Star","Medium community","3,800","• (Retired) Benchmarking - Advanced Reporting (200 points) - 7/6/2021 
 • Benchmarking - Municipal Buildings (100 points) - 8/24/2017 
 • Clean Energy Upgrades (500 points) - 10/28/2022 
 • Clean Heating and Cooling Demo (700 points) - 10/11/2022 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 4/10/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 7/16/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/5/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/30/2023 
 • LED Street Lights - Decorative Fixtures (200 points) - 3/30/2023 
 • Unified Solar Permit (200 points) - 2/16/2017","11"
"Town of Fabius","Onondaga","Central New York","2,006","Designated CEC","","Small community","1,200","• Benchmarking - Municipal Buildings (100 points) - 1/15/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 1/10/2019 
 • Unified Solar Permit (200 points) - 1/15/2019","5"
"Town of Farmington","Ontario","Finger Lakes","14,170","Designated CEC","1-Star","Medium community","2,000","• (Retired) Benchmarking - Advanced Reporting (200 points) - 9/21/2023 
 • Benchmarking - Municipal Buildings (100 points) - 10/13/2020 
 • Clean Fleets - Charging Stations (200 points) - 3/8/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/29/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/13/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/17/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 9/17/2021 
 • Municipal Clean Fleets Inventory (200 points) - 12/21/2023 
 • Unified Solar Permit (200 points) - 11/10/2020","9"
"Town of Fenner","Madison","Central New York","1,668","Not Designated","","Small community","300","• Energy Code Enforcement Training (300 points) - 3/5/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/24/2017","2"
"Town of Fenton","Broome","Southern Tier","6,429","Designated CEC","1-Star","Medium community","2,400","• (Retired) Benchmarking - Advanced Reporting (200 points) - 9/26/2022 
 • Benchmarking - Municipal Buildings (100 points) - 11/21/2023 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 4/10/2024 
 • Build Ready - Site Nomination (100 points) - 4/16/2024 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 3/30/2023 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/18/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 6/28/2022 
 • Municipal Clean Fleets Inventory (200 points) - 4/10/2024 
 • Unified Solar Permit (200 points) - 3/8/2022","10"
"Town of Fine","St. Lawrence","North Country","1,304","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 11/16/2022","1"
"Town of Fishkill","Dutchess","Mid-Hudson","24,226","Not Designated","","Medium community","0","• Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018","1"
"Town of Fleming","Cayuga","Central New York","2,477","Not Designated","","Small community","700","• LED Street Lights - Cobra Head Fixtures (700 points) - 1/25/2023","1"
"Town of Floyd","Oneida","Mohawk Valley","3,733","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 7/10/2023","1"
"Town of Forestburgh","Sullivan","Mid-Hudson","808","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/28/2022","1"
"Town of Fort Covington","Franklin","North Country","1,531","Designated CEC","1-Star","Small community","1,700","• 50% Conversion of Cobra Head Streetlights (700 points) - 10/1/2024 
 • Benchmarking - Advanced Reporting (300 points) - 7/30/2024 
 • Benchmarking - Municipal Buildings (100 points) - 11/28/2023 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 7/30/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 4/18/2023 
 • Municipal Clean Fleets Inventory (200 points) - 7/30/2024 
 • Unified Solar Permit (200 points) - 11/21/2023","7"
"Town of Frankfort","Herkimer","Mohawk Valley","7,011","Not Designated","","Medium community","400","• Energy Code Enforcement Training - Leadership Round (200 points) - 11/16/2022 
 • Municipal Clean Fleets Inventory (200 points) - 9/10/2024","2"
"Town of Franklin (Delaware County)","Delaware","Southern Tier","2,288","Designated CEC","","Small community","800","• Benchmarking - Municipal Buildings (100 points) - 4/26/2018 
 • Clean Energy Upgrades (500 points) - 7/24/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • Unified Solar Permit (200 points) - 10/16/2017","4"
"Town of Franklin (Franklin County)","Franklin","North Country","1,150","Designated CEC","2-Star","Small community","3,300","• (Retired) Benchmarking - Advanced Reporting (200 points) - 7/19/2022 
 • Benchmarking - Municipal Buildings (100 points) - 2/27/2017 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 4/9/2024 
 • Clean Energy Upgrades (500 points) - 1/10/2023 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/26/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/29/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 1/25/2023 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 1 (700 points) - 9/17/2024 
 • Municipal Building Demos: Net Zero -Tier 1 (500 points) - 9/17/2024 
 • Municipal Clean Fleets Inventory (200 points) - 3/26/2024 
 • Solarize (0 points) - 2/27/2017 
 • Unified Solar Permit (200 points) - 2/27/2017","12"
"Town of Franklinville","Cattaraugus","Western New York","2,802","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 10/20/2021","1"
"Town of Friendship","Allegany","Western New York","1,944","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021","1"
"Town of Galen","Wayne","Finger Lakes","4,415","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 5/17/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 12/18/2018","2"
"Town of Gallatin","Columbia","Capital Region","1,628","Designated CEC","2-Star","Small community","3,800","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/18/2022 
 • Benchmarking - Advanced Reporting (300 points) - 4/23/2024 
 • Benchmarking - Municipal Buildings (100 points) - 6/11/2019 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 4/23/2024 
 • CDG Subscription (300 points) - 4/30/2024 
 • Clean Energy Upgrades (500 points) - 9/28/2015 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 11/1/2023 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 6/26/2024 
 • Community Campaigns - Community Solar (200 points) - 11/1/2023 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 6/26/2024 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 6/26/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 1/18/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/11/2019 
 • Municipal Clean Fleets Inventory (200 points) - 4/16/2024 
 • Unified Solar Permit (200 points) - 6/11/2019","15"
"Town of Gardiner","Ulster","Mid-Hudson","5,610","Designated CEC","4-Star","Medium community","7,200","• Benchmarking - Advanced Reporting (300 points) - 4/30/2024 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 5/10/2024 
 • CCA - 100% Renewable Default Supply (1500 points) - 3/5/2024 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 3/5/2024 
 • Clean Fleets (100 points) - 1/26/2021 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/12/2021 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 5/28/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 6/26/2024 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 5/10/2024 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 6/4/2024 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 10/11/2023 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 6/14/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/9/2021 
 • Municipal Clean Fleets Inventory (200 points) - 4/23/2024","14"
"Town of Gates","Monroe","Finger Lakes","29,167","Designated CEC","1-Star","Medium community","2,900","• (Retired) Benchmarking - Advanced Reporting (200 points) - 9/28/2021 
 • Benchmarking - Municipal Buildings (100 points) - 7/6/2021 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 5/10/2024 
 • Clean Energy Upgrades (500 points) - 11/28/2023 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 6/18/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 7/27/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/20/2022 
 • Municipal Clean Fleets Inventory (200 points) - 4/30/2024 
 • Unified Solar Permit (200 points) - 7/7/2021","10"
"Town of Geddes","Onondaga","Central New York","17,088","Designated CEC","2-Star","Medium community","3,600","• Benchmarking - Advanced Reporting (300 points) - 3/26/2024 
 • Benchmarking - Municipal Buildings (100 points) - 10/16/2017 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 4/16/2024 
 • Clean Energy Upgrades (500 points) - 3/11/2019 
 • Clean Fleets - Charging Stations (200 points) - 2/23/2023 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 6/4/2024 
 • Community Campaigns - Community Solar - Tier 2 (300 points) - 6/4/2024 
 • Community Campaigns - Community Solar - Tier 3 (500 points) - 6/4/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/21/2023 
 • LED Street Lights - Decorative Fixtures (200 points) - 9/21/2023 
 • Municipal Clean Fleets Inventory (200 points) - 4/16/2024 
 • Unified Solar Permit (200 points) - 10/24/2017","14"
"Town of Geneseo","Livingston","Finger Lakes","10,234","Not Designated","","Medium community","0","• Energy Code Enforcement Training - V.1 (0 points) - 1/15/2019","1"
"Town of Geneva","Ontario","Finger Lakes","3,473","Designated CEC","4-Star","Small community","7,000","• (Retired) Benchmarking - Advanced Reporting (200 points) - 12/8/2021 
 • Benchmarking - Municipal Buildings (100 points) - 6/20/2017 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 1/30/2024 
 • CDG Subscription (300 points) - 3/5/2024 
 • Clean Energy Upgrades (500 points) - 10/31/2017 
 • Clean Fleets (100 points) - 2/5/2019 
 • Climate Smart Communities Certification - Bronze (600 points) - 9/20/2022 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 1/26/2021 
 • Community Choice Aggregation - Expired Version (0 points) - 5/19/2020 
 • DC Fast Charging Stations - Tier 1 (500 points) - 1/9/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/29/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 2/20/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 11/23/2021 
 • Level 2 Charging Stations - Tier 1 (200 points) - 1/9/2024 
 • Municipal Clean Fleets Inventory (200 points) - 2/6/2024 
 • NYStretch Energy Code (1200 points) - 12/8/2021 
 • Unified Solar Permit (200 points) - 6/20/2017","17"
"Town of Genoa","Cayuga","Central New York","1,815","Designated CEC","","Small community","1,100","• Energy Code Enforcement Training - Leadership Round (200 points) - 4/18/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 4/21/2020 
 • Unified Solar Permit (200 points) - 5/16/2023","4"
"Town of Georgetown","Madison","Central New York","648","Designated CEC","","Small community","1,200","• Benchmarking - Municipal Buildings (100 points) - 2/3/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 5/26/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 10/24/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/6/2022 
 • Unified Solar Permit (200 points) - 7/19/2022","5"
"Town of German Flatts","Herkimer","Mohawk Valley","12,263","Not Designated","1-Star","Medium community","1,200","• 50% Conversion of Cobra Head Streetlights (700 points) - 9/30/2024 
 • Energy Code Enforcement Training (300 points) - 9/3/2024 
 • Municipal Clean Fleets Inventory (200 points) - 10/1/2024","3"
"Town of Germantown","Columbia","Capital Region","1,936","Designated CEC","","Small community","4,200","• (Retired) Benchmarking - Advanced Reporting (200 points) - 8/1/2022 
 • Benchmarking - Municipal Buildings (100 points) - 6/22/2021 
 • Clean Heating and Cooling Demo (700 points) - 7/3/2023 
 • Climate Smart Communities Certification - Bronze (600 points) - 4/5/2022 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 11/21/2023 
 • Community Campaigns - Clean Heating and Cooling - Lvl 2 (600 points) - 11/21/2023 
 • Community Campaigns - Community Solar (200 points) - 4/19/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/15/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/22/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 9/28/2021 
 • Unified Solar Permit (200 points) - 6/22/2021","11"
"Town of Gerry","Chautauqua","Western New York","1,782","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021","1"
"Town of Ghent","Columbia","Capital Region","5,303","Designated CEC","3-Star","Medium community","5,100","• (Retired) Benchmarking - Advanced Reporting (200 points) - 11/8/2022 
 • Benchmarking - Municipal Buildings (100 points) - 11/23/2016 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 3/5/2024 
 • Clean Energy Upgrades (500 points) - 1/10/2023 
 • Clean Energy Upgrades -Tier 2 (200 points) - 8/6/2024 
 • Clean Energy Upgrades -Tier 3 (300 points) - 8/6/2024 
 • Clean Fleets (100 points) - 5/10/2018 
 • Climate Smart Communities Certification - Bronze (600 points) - 5/3/2023 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 11/1/2023 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 9/3/2024 
 • Community Campaigns - Community Solar (200 points) - 5/5/2022 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 1/9/2024 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 7/30/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 4/5/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 9/1/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/11/2022 
 • Municipal Clean Fleets Inventory (200 points) - 3/19/2024 
 • Unified Solar Permit (200 points) - 4/26/2018","18"
"Town of Glenville","Schenectady","Capital Region","29,326","Designated CEC","","Medium community","600","• Benchmarking - Municipal Buildings (100 points) - 7/28/2020 
 • Clean Fleets (100 points) - 4/7/2020 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/9/2021 
 • Unified Solar Permit (200 points) - 3/24/2020","4"
"Town of Gorham","Ontario","Finger Lakes","4,106","Designated CEC","1-Star","Small community","1,200","• 50% Conversion of Cobra Head Streetlights (700 points) - 2/5/2024 
 • Benchmarking - Municipal Buildings (100 points) - 9/3/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 7/5/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 11/5/2019 
 • Unified Solar Permit (200 points) - 1/7/2020","5"
"Town of Granby","Oswego","Central New York","6,520","Designated CEC","1-Star","Medium community","1,400","• (Retired) Benchmarking - Advanced Reporting (200 points) - 1/11/2022 
 • Benchmarking - Municipal Buildings (100 points) - 1/12/2017 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 3/26/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 4/19/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/20/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/16/2017 
 • Unified Solar Permit (200 points) - 1/4/2017","7"
